اسم المشروع,نوع المنافسة,حالة المشروع,الرقم المرجعي ,اسم المورد,تاريخ أمر الشراء,تاريخ توقيع العقد,مدة العقد
تطوير وتشغيل محطات العمل الهندسية لنظام المعلومات الجغرافية وأعمال الرفع الهندسي,منافسة عامة,تحت التنفيذ,220439542271,101537 شركة جي بي سي العالمية للاتصالات,2022-08-17,2022-09-26,24
دعم وتحسين أنظمة الساس,منافسة عامة,تحت التنفيذ,220439543145,100637 شركة أركي للتقنية,2022-06-21,2022-08-18,12
مشروع تنفيذ قسم الوسائل الحية بمطار نيوم,منافسة عامة,تحت التنفيذ,220439543982,101456 اعمار طبريه للتجارة والمقاولات,2022-08-10,2022-10-11,24
تطوير منصة التكامل والربط,منافسة عامة,تحت التنفيذ,220439547171,شركه اجاده للنظم المحدودة,2022-07-18,2022-08-21,14
أعمال التشغيل وصيانة ونظافة أجهزة التحقق من الخصائص الحيوية بالمنافذ الجمركية 2022,منافسة عامة,تحت التنفيذ,220439547170,100973 شركة مدينة الأعمال المحدودة,2022-06-12,2022-06-30,12
صيانة ونظافة وتشغيل فرع الهيئة بالإدارة العامة وفرع الهيئة بالرياض,منافسة عامة,تحت التنفيذ,220339530083,101462 شركة المخالد للتجارة والمقاولات,2022-08-16,2022-09-13,36
تنفيذ نظام إدارة الأصول البرمجية والرخص,منافسة عامة,تحت التنفيذ,220439548581,شركه اجاده للنظم المحدودة,2022-07-26,2022-08-31,8
التحريز بالمنافذ الجمركية,منافسة عامة,تحت التنفيذ,220439547798,مؤسسه طريق الذكاء للتجارة,2022-07-03,2022-08-07,2
زيادة الطاقة الاستيعابية للخوادم في مراكز البيانات,منافسة عامة,تحت التنفيذ,220439548951,الشركة الوطنية لأنظمة الحاسب الالي,2022-07-18,2022-08-31,9
تأمين الحراسات الأمنية لمبنى الإدارة العامة وفروع ومستودعات الهيئة والأمانات العامة للجان الزكوية والضريبية والجمركية,منافسة عامة,تحت التنفيذ,220439543383,100310 امنكو للحول الامنية,2022-09-08,2022-10-16,12
مشروع رفع الطاقة الاستيعابية لمنفذ سلوى – المرحلة الأولى,منافسة عامة,تحت التنفيذ,220439551041,101456 اعمار طبريه للتجارة والمقاولات,2022-06-09,2022-06-29,4
مشروع رفع الطاقة الاستيعابية لمنفذ سلوى – المرحلة الثانية,منافسة عامة,تحت التنفيذ,220439551050,101456 اعمار طبريه للتجارة والمقاولات,2022-06-09,2022-06-29,4
خدمات الإعاشة لموظفي منفذ الربع الخالي,منافسة عامة,تحت التنفيذ,220339520356, شركة أعمال المرافق المحدودة,2022-07-28,2022-09-05,12
تأهيل وتطوير مباني الجوازات بمنفذ سلوى,منافسة عامة,تحت التنفيذ,220439551035,شركة آل مترك للمقاولات,2022-06-07,2022-06-29,4
تأهيل وترميم مباني المعاينين (الشمالي والجنوبي) بميناء جدة الاسلامي,منافسة عامة,تحت التنفيذ,220439553608,101481 مؤسسة إعمار نجد للمقاولات,2022-06-26,2022-08-03,3
تأهيل وترميم الصالة الشاملة في ميناء الجبيل ورأس تنورة,منافسة عامة,تحت التنفيذ,220439553609,شركة درع التطوير للتجارة,2022-05-26,2022-06-16,2
عقد مناولة جمرك منفذ الحديثة,منافسة عامة,تحت التنفيذ,220439553604,101081 شركة قائم للمقاولات,2022-07-27,2022-08-25,12
مشروع تحسينات منصة ضريبة التصرفات العقارية والدعم الفني,منافسة عامة,تحت التنفيذ,220439554399,شركه اجاده للنظم المحدوده,2022-07-05,2022-08-25,12
مشروع تطوير نقل الموظف حسب الحالات الخاصة,منافسة عامة,تحت التنفيذ,220439554164,شركة الفابت السعودية,2022-07-05,2022-09-13,12
تصميم وتنفيذ تحسينات على نظام إيراد (المرحلة الثالثة),منافسة عامة,تحت التنفيذ,220439554315,شركه انفينيو لحلول الاعمال,2022-07-25,2022-08-25,12
مشروع تحسينات على نظام العقود الذكية,منافسة عامة,تحت التنفيذ,220439554205,شركة اجادة للنظم المحدودة,2022-06-28,2022-08-11,12
مشروع تحسينات على نظام العلاقات الدولية,منافسة عامة,تحت التنفيذ,220439554236,شركة اجادة للنظم,2022-07-04,2022-08-25,12
Data Wipe Solution,منافسة عامة,تحت التنفيذ,220439554395,101245 مؤسسة نسيج الأعمال لتقنية المعلومات,2022-06-22,2022-08-03,1
مشروع أعمال أنظمة إنذار ومكافحة الحريق بمنفذ البطحاء,منافسة عامة,تحت التنفيذ,220539557527, شركة أعمال الضمان للمقاولات,2022-09-14,2022-11-06,15
عملية نزح مياه الصرف الصحي لمباني هيئة الزكاة والضريبة والجمارك بحي المغرزات بالرياض,منافسة عامة,تحت التنفيذ,220539557722,101480 مؤسسة مناير نجد للمقاولات,2022-06-27,2022-09-05,24
مشروع الحلول الرقمية (Omni-Channels),منافسة عامة,تحت التنفيذ,220539558401,شركه شور العالمية للتقنية,2022-11-08,2022-12-14,12
مناولة جمرك منفذ البطحاء,منافسة عامة,تحت التنفيذ,220539559258, موسسه رائد صالح الصيعري للمقاولات,2022-08-03,2022-10-27,12
تأهيل وتطوير بيئة العمل في مباني جمارك وجوازات صالات استقبال الباصات بمنفذ البطحاء,منافسة عامة,تحت التنفيذ,220539558922,شركة آل مترك للمقاولات,2022-07-25,2022-08-25,3
هدية الموظف الجديد,منافسة عامة,تحت التنفيذ,220539563558,100064 شركة إيوان الخليج للتجارة,2022-07-26,2022-09-01,12
تطوير نظام مراقبة البنية التحتية والشبكات,منافسة عامة,تحت التنفيذ,220539565793,شركة المعمر لأنظمة المعلومات,2022-08-09,2022-09-07,3
تعديل تغطيات أعمدة مظلات الركاب والجوازات في منفذ البطحاء,منافسة عامة,تحت التنفيذ,220539566216, شركة الحارثية المحدودة,2022-06-26,2022-08-18,2
تجديد رخص SoftwareAG BPM,منافسة عامة,تحت التنفيذ,220539565901,الشركة العربية لخدمات الانترنت والاتصالات,2022-07-25,2022-09-01,12
تأهيل وتطوير مباني الهيئة في منفذ جسر الملك فهد,منافسة عامة,تحت التنفيذ,220539569542,100776 مؤسسة مجال للمقاولات العامة,2022-07-28,2022-08-25,2
مناولة جمرك منفذ الربع الخالي,منافسة عامة,تحت التنفيذ,220539568276, موسسه الرويس للمقاولات,2022-07-27,2022-08-25,12
تأمين أنظمة فحص بالأشعة السينية 2022,منافسة عامة,تحت التنفيذ,220439536165,الشركة المتحدة للاعمال التقنية,2022-12-12,2023-03-01,36
إدارة ممتلكات سكن العزاب بالمدينة السكنية بمنفذ البطحاء ومنفذ جديدة عرعر,منافسة عامة,تحت التنفيذ,220539558859,شركة تدبير المحدودة,2022-10-17,2022-11-16,24
مشروع انشاء مرافق مساندة لمنفذ الربع الخالي,منافسة عامة,تحت التنفيذ,220439552621,شركة الجودة للمقاولات,2022-10-10,2022-11-06,12
رفع الطاقة الاستيعابية لمنطقة الركاب بمنفذ البطحاء - الصادر,منافسة عامة,تحت التنفيذ,220539574708, مؤسسه البواكر للمقاولات,2022-08-10,2022-08-27,3
توريد أجهزة حاسب آلي وملحقاتها,منافسة عامة,تحت التنفيذ,220539572586,100001 شركة عبدالله فؤاد القابضة,2022-08-11,2022-09-18,18
